,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Dallas Mavericks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,J.J.,Barea,PG,35,177.8,180,6,59,0.8,0.3,1,4.7,0.357,2.8,0.588,0.3,0,1.3,5,2.8,80,13.57142857,0.3,0.2,42,,,,
players,Ryan,Broekhoff,SG,29,198.12,215,6,71,0.3,0,0.75,0.8,0,1.3,0.8,0,0,1.3,5,0.8,80,16.37931034,0.3,0,18.9,,,,
players,Jalen,Brunson,PG,23,185.42,190,6,62,0.9,1.3,0.71,4.1,0.574,1.9,0.326,0.6,25,1.8,20,2.6,80,25.65217391,0.5,0,47.1,PT,,,
players,Seth,Curry,SG,29,187.96,185,6,59,0.8,1.5,0.935,2.3,0.51,3.9,0.383,0.4,25,1.5,24.5,1.6,80,21.37931034,0.6,0.2,63.6,,,,
players,Luka,Doncic,PG,20,200.66,230,6,77,4.6,9.3,0.814,10.7,0.615,9.5,0.32,1.3,100,8.5,42.5,9.2,80,96.25,1.3,0.1,100.2,CG,,,
players,Dorian,Finney-Smith,SF,26,200.66,220,6,62,1,1.5,0.706,3,0.643,3.7,0.329,1.9,30,3.2,27.5,1.1,80,28.26923077,0.6,0.4,80.7,,,,
players,Tim,Hardaway Jr.,SG,27,195.58,205,6,56,0.5,2.2,0.82,4,0.516,6.4,0.381,0.3,30,1.8,27.5,1.8,80,25.09259259,0.6,0.1,74.4,EX,,,
players,Justin,Jackson,SF,24,200.66,220,6,62,0.2,0.6,0.769,2.6,0.534,2.6,0.397,0.4,0,2.1,20,0.4,80,19.79166667,0.2,0.1,42.3,,,,
players,Maxi,Kleber,C,28,208.28,240,6,62,0.7,1.4,0.903,2.5,0.5,3.8,0.369,1.7,30,4,9.5,1,80,24.46428571,0.2,0.6,72.9,,,,
